tick,t_s,phase,task_mode,curr_motion_timestep,ball_x,ball_y,ball_z,base_x,base_y,base_z,robot_top_z,robot_bottom_z,robot_height,kick_aim_theta_deg
0,0.0,idle,kick,381,9.871073764607672,2.1860248899528214,0.10973345824050078,1.1108642862178943,0.38185557784333174,0.7728452477992198,1.3047260241926766,-0.0009405673340106974,1.3056665915266872,0.0
1,0.02,idle,kick,381,9.917360754007916,2.197123839224612,0.10973345824050078,1.110855846649842,0.3816255288322383,0.7728403521463394,1.3047306673227719,-0.0009443930138803673,1.3056750603366523,0.0
2,0.04,idle,kick,381,9.96364774340816,2.2082227884964025,0.10973345824050078,1.110838888481856,0.38143118182286156,0.7728370120926672,1.304735677143779,-0.0009486930557296193,1.3056843701995087,0.0
3,0.06,idle,kick,381,10.009934732808404,2.219321737768193,0.10973345824050078,1.1108133276420873,0.3812713364217159,0.7728349224221277,1.304740787738291,-0.0009535549899048826,1.305694342728196,0.0
4,0.08,idle,kick,381,10.056221722208647,2.2304206870399836,0.10973345824050078,1.1107792782039905,0.38114415954797704,0.7728345891749733,1.304746560914341,-0.0009590080536521287,1.305705568967993,0.0
5,0.1,idle,kick,381,10.102508711608891,2.241519636311774,0.10973345824050078,1.110736527833443,0.38104694288833474,0.7728362534089103,1.304753327863151,-0.000964856339250978,1.305718184202402,0.0
6,0.12,idle,kick,381,10.148795701009135,2.2526185855835648,0.10973345824050078,1.1106845533963388,0.3809768678460352,0.772839481549572,1.3047607364684148,-0.0009709687404135456,1.3057317052088284,0.0
7,0.14,idle,kick,381,10.195082690409379,2.2637175348553553,0.10973345824050078,1.110623132756263,0.3809322970412708,0.7728431274575379,1.304767681234507,-0.0009770117917636337,1.3057446930262706,0.0
8,0.16,idle,kick,381,10.241369679809623,2.274816484127146,0.10973345824050078,1.1105527351514635,0.3809131679314243,0.7728466923122983,1.3047737405788864,-0.0009828332930176611,1.3057565738719041,0.0
9,0.18,idle,kick,381,10.287656669209866,2.2859154333989364,0.10973345824050078,1.1104744561927682,0.3809207177345187,0.7728503283611571,1.3047792648615972,-0.0009884220073807931,1.305767686868978,0.0
10,0.2,idle,kick,381,10.33394365861011,2.297014382670727,0.10973345824050078,1.1103889834410428,0.38095701249422476,0.772854833263117,1.3047853910434473,-0.0009942743335932674,1.3057796653770406,0.0
11,0.22,idle,kick,381,10.380230648010354,2.3081133319425176,0.10973345824050078,1.1102967266120793,0.3810202408654739,0.772859700245875,1.304791687935448,-0.0010006089092262534,1.3057922968446742,0.0
12,0.24,idle,kick,381,10.426517637410598,2.319212281214308,0.10973345824050078,1.1101990103714328,0.3811074932955085,0.7728650282362569,1.3047982949440233,-0.0010073111987911193,1.3058056061428145,0.0
13,0.26,idle,kick,381,10.472804626810841,2.3303112304860987,0.10973345824050078,1.1100971614541109,0.38121607785827516,0.7728704913689456,1.3048049219487032,-0.0010140418635352436,1.3058189638122384,0.0
14,0.28,idle,kick,381,10.519091616211085,2.3414101797578892,0.10973345824050078,1.1099915401440943,0.38134423954211877,0.7728759985674677,1.3048114747578903,-0.0010209114882748158,1.3058323862461652,0.0
15,0.3,idle,kick,381,10.565378605611329,2.35250912902968,0.10973345824050078,1.1098824741635323,0.3814899688061696,0.7728821486507396,1.3048185329907787,-0.0010280098943696164,1.3058465428851482,0.0
16,0.32,idle,kick,381,10.611665595011573,2.3636080783014703,0.10973345824050078,1.1097702565539018,0.3816512889045316,0.7728893316731741,1.3048264785990749,-0.0010351752352094588,1.3058616538342842,0.0
17,0.34,idle,kick,381,10.657952584411817,2.374707027573261,0.10973345824050078,1.10965533457774,0.38182643261991117,0.7728976048332119,1.3048353781788946,-0.0010423346060325737,1.3058777127849273,0.0
18,0.36,idle,kick,381,10.70423957381206,2.3858059768450515,0.10973345824050078,1.1095380582625847,0.38201355865877745,0.7729068867625408,1.3048451493531106,-0.0010494694345056718,1.3058946187876161,0.0
19,0.38,idle,kick,381,10.750526563212304,2.396904926116842,0.10973345824050078,1.10941865565381,0.3822108625925189,0.7729172514647678,1.304855853287913,-0.0010565571652292431,1.3059124104531423,0.0
20,0.4,idle,kick,381,10.796813552612548,2.4080038753886326,0.10973345824050078,1.1092972287821474,0.38241629670129434,0.7729287165362692,1.3048675212277692,-0.001063611605201041,1.3059311328329701,0.0
21,0.42,idle,kick,381,10.843100542012792,2.419102824660423,0.10973345824050078,1.1091735772383444,0.3826278537266445,0.7729409698646115,1.3048797887365795,-0.0010705196798092668,1.3059503084163888,0.0
22,0.44,idle,kick,381,10.889387531413036,2.4302017739322137,0.10973345824050078,1.109047711435072,0.3828438252441094,0.7729540744297063,1.3048927161997692,-0.0010772582372820735,1.3059699744370512,0.0
23,0.46,idle,kick,381,10.93567452081328,2.4413007232040043,0.10973345824050078,1.10891984892815,0.3830626649755285,0.7729678378857595,1.3049061268963835,-0.0010838316181993254,1.3059899585145829,0.0
24,0.48,idle,kick,381,10.981961510213523,2.452399672475795,0.10973345824050078,1.1087903009776006,0.38328291968930933,0.7729820925584842,1.3049198792267778,-0.001090231303608958,1.3060101105303867,0.0
25,0.5,idle,kick,381,11.028248499613767,2.4634986217475854,0.10973345824050078,1.1086593913558065,0.38350315123847056,0.7729966611225364,1.3049338251123817,-0.0010964409460886906,1.3060302660584704,0.0
26,0.52,idle,kick,381,11.07453548901401,2.474597571019376,0.10973345824050078,1.1085274494790547,0.383721824946079,0.7730113707859848,1.3049478175881188,-0.0011024393903165258,1.3060502569784354,0.0
27,0.54,idle,kick,381,11.120822478414254,2.4856965202911665,0.10973345824050078,1.108394787619148,0.3839374122755786,0.7730260775912596,1.3049617355039478,-0.0011082088207452837,1.306069944324693,0.0
28,0.56,idle,kick,381,11.167109467814498,2.496795469562957,0.10973345824050078,1.1082616964156167,0.38414850437481846,0.77304066490144,1.3049754824752564,-0.0011137316147435544,1.30608921409,0.0
29,0.58,idle,kick,381,11.213396457214742,2.5078944188347476,0.10973345824050078,1.1081284568236198,0.38435382520688316,0.7730550612156798,1.3049890056126032,-0.0011189877410351066,1.3061079933536384,0.0
30,0.6,idle,kick,381,11.259683446614986,2.518993368106538,0.10973345824050078,1.1079953214695806,0.38455219475454017,0.7730692177006349,1.3050022711603266,-0.0011239572899293428,1.306126228450256,0.0
31,0.62,idle,kick,381,11.30597043601523,2.5300923173783287,0.10973345824050078,1.1078623501939506,0.3847425205685103,0.773083073851299,1.30501521316949,-0.0011286183359214136,1.3061438315054115,0.0
32,0.64,idle,kick,381,11.352257425415473,2.5411912666501193,0.10973345824050078,1.1077293102850636,0.3849237890061403,0.7730965488175684,1.3050277107012873,-0.0011329611108957457,1.306160671812183,0.0
33,0.66,idle,kick,381,11.398544414815717,2.55229021592191,0.10973345824050078,1.1075961862517356,0.38509507246799096,0.7731096740618542,1.3050397755530283,-0.0011369772427814034,1.3061767527958097,0.0
34,0.68,idle,kick,381,11.444831404215961,2.5633891651937004,0.10973345824050078,1.1074632061127523,0.38525548041112784,0.7731224832420798,1.3050514500470543,-0.001140650871064245,1.3061921009181185,0.0
35,0.7,idle,kick,381,11.491118393616205,2.574488114465491,0.10973345824050078,1.107330671694727,0.38540434263205614,0.7731349284107482,1.3050627044512617,-0.0011439706785997365,1.3062066751298615,0.0
36,0.72,idle,kick,381,11.537405383016448,2.5855870637372815,0.10973345824050078,1.1071989797837192,0.3855411002968487,0.7731469902945397,1.3050735493744103,-0.0011469325881398908,1.3062204819625503,0.0
37,0.74,idle,kick,381,11.583692372416692,2.596686013009072,0.10973345824050078,1.1070685608642705,0.38566546569622995,0.773158617449303,1.3050839789534312,-0.0011495279935115725,1.3062335069469428,0.0
38,0.76,idle,kick,381,11.629979361816936,2.6077849622808627,0.10973345824050078,1.1069397819869196,0.38577777277347935,0.773169769454638,1.3050940425662514,-0.001151753513854617,1.306245796080106,0.0
39,0.78,idle,kick,381,11.67626635121718,2.618883911552653,0.10973345824050078,1.1068130120510988,0.38587841542329315,0.7731803059763545,1.3051037051390024,-0.001153644917178346,1.3062573500561807,0.0
40,0.8,idle,kick,381,11.722553340617424,2.6299828608244438,0.10973345824050078,1.1066887254691729,0.38596761118101475,0.7731899976718387,1.305112854588582,-0.0011552248312008302,1.3062680794197827,0.0
41,0.82,idle,kick,381,11.768840330017667,2.6410818100962343,0.10973345824050078,1.1065671204592527,0.3860454001680979,0.7731989389072682,1.3051216140209532,-0.001156516938189054,1.3062781309591422,0.0
42,0.84,idle,kick,381,11.815127319417911,2.652180759368025,0.10973345824050078,1.1064478981142631,0.3861117457979276,0.7732072352169004,1.3051300354201851,-0.001157532864948789,1.3062875682851338,0.0
43,0.86,idle,kick,381,11.861414308818155,2.6632797086398154,0.10973345824050078,1.10633081326431,0.3861666481257165,0.7732149150757197,1.3051381013565033,-0.001158295924407842,1.3062963972809112,0.0
44,0.88,idle,kick,381,11.907701298218399,2.674378657911606,0.10973345824050078,1.1062157728402682,0.3862103133718471,0.7732218968144325,1.3051457207326422,-0.001158794855244328,1.3063045155878865,0.0
45,0.9,idle,kick,381,11.953988287618643,2.6854776071833966,0.10973345824050078,1.1061026932691809,0.38624324161860085,0.7732281349937463,1.3051528409272033,-0.0011590228738994138,1.3063118638011026,0.0
46,0.92,idle,kick,381,12.000275277018886,2.696576556455187,0.10973345824050078,1.105991540974407,0.3862659992084417,0.7732336613617946,1.3051594909953723,-0.0011590041740087917,1.3063184951693811,0.0
47,0.94,idle,kick,381,12.04656226641913,2.7076755057269777,0.10973345824050078,1.1058823275720195,0.3862790718224634,0.7732385434333772,1.3051657241454053,-0.0011587773330088494,1.3063245014784142,0.0
48,0.96,idle,kick,381,12.092849255819374,2.7187744549987682,0.10973345824050078,1.1057751997995369,0.386283148397861,0.7732430816631459,1.305171830628029,-0.0011583977570502023,1.3063302283850793,0.0
49,0.98,idle,kick,381,12.139136245219618,2.729873404270559,0.10973345824050078,1.105670209317136,0.38627904866595353,0.7732474122285783,1.305177937515658,-0.00115784811455771,1.3063357856302158,0.0
50,1.0,idle,kick,381,12.185423234619861,2.7409723535423494,0.10973345824050078,1.1055673293100656,0.38626758606439227,0.7732515624722633,1.3051840475862955,-0.0011571097000420208,1.3063411572863375,0.0
51,1.02,idle,kick,381,12.231710224020105,2.75207130281414,0.10973345824050078,1.105466533649749,0.38624939734979635,0.7732556073264046,1.3051902031093388,-0.0011561872200467442,1.3063463903293855,0.0
52,1.04,idle,kick,381,12.277997213420349,2.7631702520859305,0.10973345824050078,1.1053677903575474,0.3862249686278905,0.7732596566402227,1.3051964792462796,-0.0011551046652316238,1.3063515839115112,0.0
53,1.06,idle,kick,381,12.324284202820593,2.774269201357721,0.10973345824050078,1.1052709518680974,0.3861946506619493,0.7732636886106498,1.305202820472539,-0.0011538741391004075,1.3063566946116394,0.0
54,1.08,idle,kick,381,12.370571192220837,2.7853681506295116,0.10973345824050078,1.105175792365807,0.38615846274887405,0.7732675931131787,1.3052090737499917,-0.001152532543701821,1.3063616062936936,0.0
55,1.1,idle,kick,381,12.41685818162108,2.796467099901302,0.10973345824050078,1.105082224082696,0.3861165947843071,0.773271446099531,1.3052152708330644,-0.001151159571364701,1.3063664304044291,0.0
56,1.12,idle,kick,381,12.463145171021324,2.8075660491730927,0.10973345824050078,1.1049902342706894,0.3860697803447958,0.7732754698999792,1.3052216152634992,-0.0011497699156835066,1.3063713851791827,0.0
57,1.14,idle,kick,381,12.509432160421568,2.8186649984448833,0.10973345824050078,1.1048996842158876,0.38601887204807045,0.7732797146414448,1.3052281473870821,-0.0011483506098615044,1.3063764979969437,0.0
58,1.16,idle,kick,381,12.555719149821812,2.829763947716674,0.10973345824050078,1.104810389017066,0.38596466603178703,0.773284131024661,1.3052348059256256,-0.0011469221248749835,1.3063817280505006,0.0
59,1.18,idle,kick,381,12.602006139222055,2.8408628969884644,0.10973345824050078,1.1047221590049678,0.38590795096447483,0.7732886460605641,1.305241506264374,-0.0011455082616503853,1.3063870145260243,0.0
60,1.2,idle,kick,381,12.6482931286223,2.851961846260255,0.10973345824050078,1.1046348150297565,0.3858494987904796,0.7732931929953697,1.3052481723225255,-0.00114412746035324,1.3063922997828787,0.0
61,1.22,idle,kick,381,12.694580118022543,2.8630607955320455,0.10973345824050078,1.104548194903907,0.38579004809731793,0.773297718490069,1.305254743902168,-0.001142793338845604,1.3063975372410137,0.0
62,1.24,idle,kick,381,12.740867107422787,2.874159744803836,0.10973345824050078,1.104462155016115,0.3857302813201418,0.7733021858050976,1.3052611795292388,-0.00114151812663265,1.3064026976558714,0.0
63,1.26,idle,kick,381,12.78715409682303,2.8852586940756266,0.10973345824050078,1.1043765680018558,0.3856708170384534,0.7733065693499638,1.3052674509959128,-0.0011403126615180809,1.306407763657431,0.0
64,1.28,idle,kick,381,12.833441086223274,2.896357643347417,0.10973345824050078,1.1042913163412755,0.3856122350129268,0.7733108497391971,1.3052735384595642,-0.0011391860063035067,1.3064127244658676,0.0
65,1.3,idle,kick,381,12.879728075623518,2.9074565926192077,0.10973345824050078,1.1042062879346357,0.385555073576401,0.7733150138916132,1.3052794301412123,-0.0011381465463769815,1.3064175766875892,0.0
66,1.32,idle,kick,381,12.926015065023762,2.9185555418909983,0.10973345824050078,1.1041213748258607,0.3854998700240974,0.7733190480520021,1.3052851155153238,-0.0011372037300395876,1.3064223192453635,0.0
67,1.34,idle,kick,381,12.972302054424006,2.929654491162789,0.10973345824050078,1.104036471214434,0.3854470477694918,0.7733229580762362,1.305290603150498,-0.001136361254809818,1.306426964405308,0.0
68,1.36,idle,kick,381,13.01858904382425,2.9407534404345794,0.10973345824050078,1.1039514852201984,0.3853969339632705,0.7733267420219462,1.3052958946866735,-0.0011356221282750704,1.3064315168149485,0.0
69,1.38,idle,kick,381,13.064876033224493,2.95185238970637,0.10973345824050078,1.103866318591817,0.38534975231560775,0.7733303976074307,1.3053009907590174,-0.0011349856362800406,1.3064359763952975,0.0
70,1.4,idle,kick,381,13.111163022624737,2.9629513389781605,0.10973345824050078,1.1037808778289377,0.3853056447583498,0.7733339284401425,1.3053058967135773,-0.0011344553759595963,1.306440352089537,0.0
71,1.42,idle,kick,381,13.15745001202498,2.974050288249951,0.10973345824050078,1.1036951043194065,0.3852647018164564,0.7733374025398436,1.3053106813839843,-0.0011340298788982926,1.3064447112628825,0.0
72,1.44,idle,kick,381,13.203737001425225,2.9851492375217417,0.10973345824050078,1.1036089888640814,0.3852268654944334,0.773340926053967,1.305315455111854,-0.0011337108694200182,1.306449165981274,0.0
73,1.46,idle,kick,381,13.250023990825468,2.996248186793532,0.10973345824050078,1.1035225016414711,0.38519201493988564,0.7733445290534977,1.305320251121671,-0.0011335044204881968,1.3064537555421591,0.0
74,1.48,idle,kick,381,13.296310980225712,3.007347136065323,0.10973345824050078,1.1034356093535715,0.3851600151736514,0.7733482183156632,1.305325078664314,-0.0011334093683661173,1.3064584880326802,0.0
75,1.5,idle,kick,381,13.342597969625956,3.0184460853371133,0.10973345824050078,1.103348276669228,0.38513072971267354,0.7733519974609874,1.305329944521158,-0.0011334169818755374,1.3064633615030334,0.0
76,1.52,idle,kick,381,13.3888849590262,3.029545034608904,0.10973345824050078,1.103260514093595,0.3851040186124658,0.7733558696022161,1.3053348553251596,-0.0011335179025336872,1.3064683732276934,0.0
77,1.54,idle,kick,381,13.435171948426444,3.0406439838806945,0.10973345824050078,1.1031723475522426,0.3850796737836623,0.7733598501847052,1.3053398303929757,-0.0011337032968759438,1.3064735336898516,0.0
78,1.56,idle,kick,381,13.481458937826687,3.051742933152485,0.10973345824050078,1.103083770375837,0.38505746636027155,0.7733639411977286,1.305344875047747,-0.0011339721025274384,1.3064788471502744,0.0
79,1.58,idle,kick,381,13.527745927226931,3.0628418824242756,0.10973345824050078,1.1029947568278322,0.385037202080624,0.7733681411373772,1.305349991036687,-0.0011343190347256477,1.3064843100714127,0.0
80,1.6,idle,locomotion,1,13.574032916627175,3.073940831696066,0.10973345824050078,1.1029052729158821,0.3850187133831612,0.7733724467789035,1.3053551803981671,-0.001134735961933038,1.3064899163601003,0.0
81,1.62,idle,locomotion,1,13.620319906027419,3.0850397809678567,0.10973345824050078,1.1024745241136407,0.38497091003585315,0.7731843315603095,1.305168643793461,-0.0008445180402165825,1.3060131618336777,0.0
82,1.64,idle,locomotion,1,13.666606895427662,3.0961387302396473,0.10973345824050078,1.101361889502524,0.3848127289439205,0.7727624418819572,1.3046974068648318,-0.0005738798621045017,1.3052712867269363,0.0
83,1.66,idle,locomotion,1,13.712893884827906,3.107237679511438,0.10973345824050078,1.0996909412327962,0.38458638300196546,0.7726089391007578,1.304385124116071,-0.0005008539065369313,1.304885978022608,0.0
84,1.68,idle,locomotion,1,13.75918087422815,3.1183366287832284,0.10973345824050078,1.0978923394874085,0.384546520256647,0.7735921376061403,1.3050477997263437,-0.0004633278059444426,1.3055111275322882,0.0
85,1.7,idle,locomotion,1,13.805467863628394,3.129435578055019,0.10973345824050078,1.0964310038686849,0.3845959739265616,0.7760638083990834,1.30702325182116,-0.00044268910056098273,1.3074659409217209,0.0
86,1.72,idle,locomotion,1,13.851754853028638,3.1405345273268095,0.10973345824050078,1.095532558187175,0.3844366443528202,0.779635483357965,1.3099780139925865,-0.0004634687693763073,1.3104414827619628,0.0
87,1.74,idle,locomotion,1,13.898041842428881,3.1516334765986,0.10973345824050078,1.0951350220618064,0.3838252115009488,0.7832816271498039,1.312965538350748,-0.000543424309766994,1.313508962660515,0.0
88,1.76,idle,locomotion,1,13.944328831829125,3.1627324258703906,0.10973345824050078,1.0950245850394227,0.38272574519942165,0.7862396507777475,1.3152900162991794,-0.0006943403043502168,1.3159843566035296,0.0
89,1.78,idle,locomotion,1,13.990615821229369,3.173831375142181,0.10973345824050078,1.0951107237782676,0.3812458308708327,0.7882447661591085,1.3167644021233345,-0.0007925967774512176,1.3175569989007856,0.0
90,1.8,idle,locomotion,1,14.036902810629613,3.1849303244139717,0.10973345824050078,1.0954325188862464,0.37948336824791107,0.7894781457895791,1.3176417407301837,-0.0008257903900168416,1.3184675311202005,0.0
91,1.82,idle,locomotion,1,14.083189800029857,3.1960292736857623,0.10973345824050078,1.0960901874009104,0.377550067855299,0.7902344115125695,1.3182595768122736,-0.0007778713533038578,1.3190374481655773,0.0
92,1.84,idle,locomotion,1,14.1294767894301,3.207128222957553,0.10973345824050078,1.0971452093230316,0.3756200347752889,0.7907563537782571,1.318858528709395,-0.0007187863081289624,1.319577315017524,0.0
93,1.86,idle,locomotion,1,14.175763778830344,3.2182271722293434,0.10973345824050078,1.0986006925795926,0.37377871595449175,0.7911294079672041,1.319499764422522,-0.0006547683475750417,1.320154532770097,0.0
94,1.88,idle,locomotion,1,14.222050768230588,3.229326121501134,0.10973345824050078,1.100364613987619,0.37205391310953084,0.7913696823432421,1.3201326566721088,-0.000608277383962838,1.3207409340560716,0.0
95,1.9,idle,locomotion,1,14.268337757630832,3.2404250707729245,0.10973345824050078,1.10233449675225,0.37046426118894454,0.7914983171505955,1.3207106256409333,-0.0005940291131828375,1.321304654754116,0.0
96,1.92,idle,locomotion,1,14.314624747031075,3.251524020044715,0.10973345824050078,1.1044280075679394,0.3690317716389702,0.7915256636646658,1.3211910247989653,-0.0005927236674177633,1.321783748466383,0.0
97,1.94,idle,locomotion,1,14.36091173643132,3.2626229693165056,0.10973345824050078,1.1065903448231966,0.36776693017328277,0.7914597247358491,1.3215463208098748,-0.000584105245146363,1.322130426055021,0.0
98,1.96,idle,locomotion,1,14.407198725831563,3.273721918588296,0.10973345824050078,1.1087936359935764,0.3666712486658606,0.7913101505127975,1.3217680549628938,-0.0005710758356043191,1.3223391307984982,0.0
99,1.98,idle,locomotion,1,14.453485715231807,3.2848208678600868,0.10973345824050078,1.1110276970559965,0.36574170461475053,0.7910821923029993,1.3218558853613325,-0.0005576504667845032,1.322413535828117,0.0
100,2.0,idle,locomotion,1,14.49977270463205,3.2959198171318773,0.10973345824050078,1.1132959928871429,0.36497217782441127,0.7907776739737474,1.3218144186413179,-0.0005513444795218966,1.3223657631208399,0.0
101,2.02,idle,locomotion,1,14.546059694032294,3.307018766403668,0.10973345824050078,1.1152925430773246,0.36422377067398637,0.7905178743579873,1.3217324260767958,-0.0005435217044795146,1.3222759477812753,0.0
102,2.04,idle,locomotion,1,14.592346683432538,3.3181177156754584,0.10973345824050078,1.1169410093672607,0.36352154497883976,0.7903796342412561,1.3216960004213183,-0.0005467544485588845,1.3222427548698772,0.0
103,2.06,idle,locomotion,1,14.638633672832782,3.329216664947249,0.10973345824050078,1.118457652296095,0.3629408231811932,0.7903313173027163,1.3217179826854162,-0.000549281230806855,1.322267263916223,0.0
104,2.08,idle,locomotion,1,14.684920662233026,3.3403156142190396,0.10973345824050078,1.1201311825333695,0.362475429578902,0.7902735239558561,1.3217376744215035,-0.0005470041242927222,1.3222846785457962,0.0
105,2.1,idle,locomotion,1,14.73120765163327,3.35141456349083,0.10973345824050078,1.1219391367740883,0.3621240419008511,0.7901932951451311,1.3217374275578,-0.0005446476893533996,1.3222820752471534,0.0
106,2.12,idle,locomotion,1,14.777494641033513,3.3625135127626207,0.10973345824050078,1.123817140412212,0.36188792912295725,0.7900961388663813,1.3217140499265712,-0.0005420965062159083,1.322256146432787,0.0
107,2.14,idle,locomotion,1,14.823781630433757,3.3736124620344112,0.10973345824050078,1.1257160899899321,0.3617664638580777,0.7899883392769469,1.3216695327396506,-0.0005390434845880011,1.3222085762242386,0.0
108,2.16,idle,locomotion,1,14.870068619834,3.384711411306202,0.10973345824050078,1.1276084417857284,0.3617497124795262,0.7898735405723005,1.321606952119253,-0.0005363717636025639,1.3221433238828557,0.0
109,2.18,idle,locomotion,1,14.916355609234245,3.3958103605779923,0.10973345824050078,1.1294794394679102,0.36182111367394953,0.789753383424772,1.3215289854374306,-0.0005334950749055524,1.3220624805123362,0.0
110,2.2,idle,locomotion,1,14.962642598634488,3.406909309849783,0.10973345824050078,1.1313214169330268,0.36196133341983017,0.7896294794049422,1.3214391911386945,-0.0005308084812773034,1.3219699996199719,0.0
