tick,t_s,phase,task_mode,curr_motion_timestep,ball_x,ball_y,ball_z,base_x,base_y,base_z,robot_top_z,robot_bottom_z,robot_height,kick_aim_theta_deg
0,0.0,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10989091315873106,-0.0004543668524025666,-8.036044738567684e-06,0.7549788067637767,1.2870338798385434,-0.000632725291058605,1.287666605129602,0.0
1,0.02,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10980902141344312,-0.0016669221773087995,-7.688966872467602e-05,0.7512426443898476,1.28330764283904,-0.00048446506593594063,1.2837921079049759,0.0
2,0.04,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10976503447145444,-0.003458094414136978,-0.0002120534212616017,0.745607842268515,1.2776317215698216,-0.0005820739660774947,1.2782137955358992,0.0
3,0.06,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10974518062216254,-0.005590782335423035,-0.00039132589124650334,0.7388095799112946,1.2707125608185017,-0.0004254938934854513,1.271138054711987,0.0
4,0.08,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973731266832155,-0.0077430148193098425,-0.0005531209300543428,0.7320040457789156,1.2637120017781989,-0.0004104570054380384,1.2641224587836368,0.0
5,0.1,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973454404443848,-0.009696759020290074,-0.0006369615934248587,0.7261868460811842,1.2576586121275082,-0.00042037949051038775,1.2580789916180186,0.0
6,0.12,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973369052927323,-0.011374551875630235,-0.0006158588767769342,0.721933119253055,1.253161288072559,-0.0004548122706050685,1.2536161003431643,0.0
7,0.14,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.1097334732878534,-0.01276849924675493,-0.0004960957206941096,0.7194261593298747,1.2504304624232678,-0.000492142365721638,1.2509226047889894,0.0
8,0.16,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973343775080387,-0.013909202658656885,-0.00030893765850570956,0.7185429979746603,1.2493632503880028,-0.0005107718644073687,1.24987402225241,0.0
9,0.18,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973344222612894,-0.014841222436797726,-8.576770810293015e-05,0.7189277872828825,1.2496196428560826,-0.0005132574846468604,1.2501329003407295,0.0
10,0.2,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973344999820983,-0.015651510164842737,0.00014130397631563967,0.7201766010195808,1.250791900651761,-0.0005083087373648869,1.251300209389126,0.0
11,0.22,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.1097334547231311,-0.01640230732707917,0.00035513729529483004,0.7218772257984731,1.2524637749864929,-0.0004949496799413582,1.2529587246664342,0.0
12,0.24,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345692610834,-0.017162414267649456,0.0005565743977067224,0.7236686379416041,1.2542634441058522,-0.00048116021577722726,1.2547446043216295,0.0
13,0.26,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345780729221,-0.017984119868934473,0.0007420133897262239,0.7252789287765221,1.2559067831631376,-0.00047286324950533004,1.2563796464126429,0.0
14,0.28,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345811827714,-0.018870821565751032,0.0008890471893841128,0.7265416120220052,1.2572224035471533,-0.0004662982825903855,1.2576887018297438,0.0
15,0.3,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345821428342,-0.019816633722057463,0.0010003780230722083,0.7273925353654347,1.2581394535821109,-0.0004659374084290645,1.25860539099054,0.0
16,0.32,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345823876013,-0.020837962367473643,0.0010816815422700391,0.7278500034272483,1.2586625295296547,-0.00046977558529575844,1.2591323051149506,0.0
