tick,t_s,phase,task_mode,curr_motion_timestep,ball_x,ball_y,ball_z,base_x,base_y,base_z,robot_top_z,robot_bottom_z,robot_height,kick_aim_theta_deg
0,0.0,idle,kick,399,11.686990952749918,-0.2172782107847579,0.10973345824050078,1.2042429246181687,0.14909014948804938,0.7513096098010085,1.2808022268924617,-0.0005130096361098367,1.2813152365285716,0.0
1,0.02,idle,kick,399,11.733656345708747,-0.21835056648055712,0.10973345824050078,1.204841132348252,0.14869166655517319,0.7513046018627604,1.280802463906061,-0.000505852581938155,1.281308316487999,0.0
2,0.04,idle,kick,399,11.780321738667576,-0.21942292217635634,0.10973345824050078,1.2054573760823275,0.1483124802860505,0.751298632024902,1.2807988193380788,-0.0005024430914571457,1.281301262429536,0.0
3,0.06,idle,kick,399,11.826987131626405,-0.22049527787215556,0.10973345824050078,1.206088698172478,0.14795467119999048,0.7512907073914807,1.2807896577291382,-0.0004967461987334248,1.2812864039278717,0.0
4,0.08,idle,kick,399,11.873652524585234,-0.22156763356795478,0.10973345824050078,1.2067305478651982,0.1476222627827184,0.7512810016097842,1.2807752814332845,-0.0004925890660923866,1.2812678704993767,0.0
5,0.1,idle,kick,399,11.920317917544063,-0.222639989263754,0.10973345824050078,1.207377378241106,0.14731907559952365,0.7512694652145091,1.2807560642810691,-0.0004884052915877755,1.2812444695726568,0.0
6,0.12,idle,kick,399,11.966983310502892,-0.22371234495955322,0.10973345824050078,1.208022194207175,0.14704786326791924,0.7512557012309512,1.280731907270296,-0.0004836776046235995,1.2812155848749196,0.0
7,0.14,idle,kick,399,12.01364870346172,-0.22478470065535244,0.10973345824050078,1.2086596323111007,0.14681187528321388,0.7512403562630754,1.2807040176643578,-0.00048330925887381596,1.2811873269232317,0.0
8,0.16,idle,kick,399,12.06031409642055,-0.22585705635115166,0.10973345824050078,1.2092856440621156,0.1466142011882731,0.7512244263626447,1.2806740548172748,-0.000483268239298177,1.281157323056573,0.0
9,0.18,idle,kick,399,12.106979489379379,-0.22692941204695088,0.10973345824050078,1.2098968634207388,0.14645747095510941,0.7512086008345567,1.2806433439679374,-0.0004830308738968288,1.2811263748418342,0.0
10,0.2,idle,kick,399,12.153644882338208,-0.2280017677427501,0.10973345824050078,1.2104904856396796,0.14634375148996556,0.7511933072405631,1.2806128742967613,-0.0004826046247623818,1.2810954789215236,0.0
11,0.22,idle,kick,399,12.200310275297037,-0.22907412343854933,0.10973345824050078,1.2110641458493228,0.14627485843583113,0.7511787901105487,1.2805834180809599,-0.0004819972595967552,1.2810654153405567,0.0
12,0.24,idle,kick,399,12.246975668255866,-0.23014647913434855,0.10973345824050078,1.2116161917081085,0.14625229349128252,0.7511653437900934,1.2805557310305256,-0.0004812011895460218,1.2810369322200716,0.0
13,0.26,idle,kick,399,12.293641061214695,-0.23121883483014777,0.10973345824050078,1.2121461607175923,0.14627680096326762,0.7511538385915644,1.2805309564363951,-0.0004802577931100789,1.2810112142295051,0.0
14,0.28,idle,kick,399,12.340306454173524,-0.232291190525947,0.10973345824050078,1.2126546682939339,0.1463485420015304,0.7511451848635544,1.2805102875506549,-0.00047905889256771167,1.2809893464432225,0.0
15,0.3,idle,kick,399,12.386971847132353,-0.2333635462217462,0.10973345824050078,1.213141928421827,0.14646600328901013,0.7511376914648368,1.280492211751802,-0.00047746527051774346,1.2809696770223198,0.0
16,0.32,idle,kick,399,12.433637240091182,-0.23443590191754543,0.10973345824050078,1.2136082418702492,0.14662582863640397,0.7511293368394318,1.2804745235971133,-0.0004760729783351847,1.2809505965754484,0.0
17,0.34,idle,kick,399,12.48030263305001,-0.23550825761334465,0.10973345824050078,1.2140541351557153,0.14682441836503946,0.7511201717891205,1.2804570748005526,-0.0004748993355939493,1.2809319741361465,0.0
18,0.36,idle,kick,399,12.52696802600884,-0.23658061330914387,0.10973345824050078,1.2144795331238356,0.14705914027369174,0.7511114239375979,1.2804411263695459,-0.00047335626243507484,1.280914482631981,0.0
19,0.38,idle,kick,399,12.573633418967669,-0.2376529690049431,0.10973345824050078,1.2148841848972318,0.1473270150808583,0.7511027586797416,1.2804263964017417,-0.0004716660612939759,1.2808980624630357,0.0
20,0.4,idle,kick,399,12.620298811926498,-0.23872532470074231,0.10973345824050078,1.2152686176655103,0.14762304613935362,0.7510934427538548,1.280411522651996,-0.00047028000542168394,1.2808818026574178,0.0
21,0.42,idle,kick,399,12.666964204885327,-0.23979768039654153,0.10973345824050078,1.2156328790845312,0.1479429777133747,0.7510837410121501,1.2803963771778506,-0.0004693470070145367,1.280865724184865,0.0
22,0.44,idle,kick,399,12.713629597844156,-0.24087003609234076,0.10973345824050078,1.2159764326187075,0.14828434492069012,0.7510750029255059,1.2803825874128474,-0.00046839749816872736,1.2808509849110161,0.0
23,0.46,idle,kick,399,12.760294990802985,-0.24194239178813998,0.10973345824050078,1.216299231032884,0.1486445684150966,0.7510682934220809,1.2803714646720745,-0.00046740600565569126,1.2808388706777303,0.0
24,0.48,idle,kick,399,12.806960383761814,-0.2430147474839392,0.10973345824050078,1.2166018931073785,0.14902070533559172,0.7510638576704987,1.280363277401597,-0.0004663791134553036,1.2808296565150523,0.0
25,0.5,idle,kick,399,12.853625776720643,-0.24408710317973842,0.10973345824050078,1.2168849816030478,0.14940971948940404,0.7510613861274003,1.2803576709050724,-0.0004653363284168738,1.2808230072334892,0.0
26,0.52,idle,kick,399,12.900291169679472,-0.24515945887553764,0.10973345824050078,1.2171487417015328,0.1498085819912524,0.7510599627213801,1.2803536683571632,-0.0004643079689128221,1.280817976326076,0.0
27,0.54,idle,kick,399,12.9469565626383,-0.24623181457133686,0.10973345824050078,1.2173937147261014,0.15021397559129684,0.7510590277569359,1.2803504678019817,-0.0004633038779948487,1.2808137716799766,0.0
28,0.56,idle,kick,399,12.99362195559713,-0.24730417026713608,0.10973345824050078,1.2176204712138885,0.15062277815412026,0.7510583778296647,1.280347696640231,-0.0004623174641372081,1.2808100141043681,0.0
29,0.58,idle,kick,399,13.040287348555959,-0.2483765259629353,0.10973345824050078,1.2178295649741933,0.15103205653154692,0.7510579848174836,1.2803452667898045,-0.00046134765179880327,1.2808066144416033,0.0
30,0.6,idle,kick,399,13.086952741514787,-0.24944888165873452,0.10973345824050078,1.2180215890361568,0.15143901692920175,0.7510578716222965,1.2803431906312794,-0.0004604014955326245,1.2808035921268122,0.0
31,0.62,idle,kick,399,13.133618134473616,-0.25052123735453374,0.10973345824050078,1.21819724116811,0.15184099845815457,0.7510582047155415,1.28034161356439,-0.00045989494221454486,1.2808015085066045,0.0
32,0.64,idle,kick,399,13.180283527432445,-0.25159359305033296,0.10973345824050078,1.2183571810717257,0.15223550482918194,0.7510592054016102,1.280340729881188,-0.0004599264068880747,1.280800656288076,0.0
33,0.66,idle,kick,399,13.226948920391274,-0.2526659487461322,0.10973345824050078,1.218501948055732,0.15261994296667636,0.7510608414796047,1.2803404969103072,-0.00045996053516265956,1.2808004574454699,0.0
34,0.68,idle,kick,399,13.273614313350103,-0.2537383044419314,0.10973345824050078,1.218632032593974,0.1529918083438371,0.7510629829066778,1.280340798085819,-0.0004599955774338173,1.2808007936632528,0.0
35,0.7,idle,kick,399,13.320279706308932,-0.2548106601377306,0.10973345824050078,1.218747861565136,0.15334896487295163,0.7510654741117577,1.2803415222321217,-0.00046003200471458547,1.2808015542368363,0.0
36,0.72,idle,kick,399,13.366945099267761,-0.25588301583352985,0.10973345824050078,1.2188498535925327,0.15368957063394695,0.7510681736647615,1.2803425762683338,-0.00046007072322230835,1.280802646991556,0.0
37,0.74,idle,kick,399,13.41361049222659,-0.25695537152932907,0.10973345824050078,1.2189384653570003,0.15401205806882734,0.7510710709225762,1.2803439924668054,-0.0004601106952099171,1.2808041031620154,0.0
38,0.76,idle,kick,399,13.46027588518542,-0.2580277272251283,0.10973345824050078,1.219014218957835,0.1543151958699328,0.7510746799495941,1.280346343579399,-0.00046014362641010054,1.280806487205809,0.0
39,0.78,idle,kick,399,13.506941278144248,-0.2591000829209275,0.10973345824050078,1.2190776003540076,0.15459794255253737,0.7510795079421158,1.2803502389897656,-0.0004601647151112019,1.2808104037048769,0.0
