tick,t_s,phase,task_mode,curr_motion_timestep,ball_x,ball_y,ball_z,base_x,base_y,base_z,robot_top_z,robot_bottom_z,robot_height,kick_aim_theta_deg
0,0.0,idle,kick,399,12.85996577692895,-4.963744572598143,0.10973345824050078,1.166226702116942,0.06745203639449929,0.7436428004087782,1.2748456410765052,-0.000688827952940653,1.275534469029446,0.0
1,0.02,idle,kick,399,12.91144246005455,-4.986152025584074,0.10973345824050078,1.1665402772649127,0.06724832731534304,0.7436621568010731,1.2748601826435981,-0.0006772940587354247,1.2755374767023335,0.0
2,0.04,idle,kick,399,12.96291914318015,-5.008559478570005,0.10973345824050078,1.1668276809218485,0.06706452851096226,0.7436809190427892,1.2748737806163708,-0.0006672590907898859,1.2755410397071607,0.0
3,0.06,idle,kick,399,13.01439582630575,-5.030966931555936,0.10973345824050078,1.1670874071239141,0.06690373443150067,0.7436978248531483,1.274885221399642,-0.0006596530725942497,1.2755448744722362,0.0
4,0.08,idle,kick,399,13.06587250943135,-5.053374384541867,0.10973345824050078,1.1673187188834646,0.06676823838298512,0.7437126675143971,1.274894299808093,-0.0006537161541093871,1.2755480159622024,0.0
5,0.1,idle,kick,399,13.117349192556949,-5.075781837527797,0.10973345824050078,1.1675213271412084,0.0666592780146252,0.743725561114463,1.2749011810332587,-0.0006491148974974992,1.275550295930756,0.0
6,0.12,idle,kick,399,13.168825875682549,-5.098189290513728,0.10973345824050078,1.16769518189278,0.06657735378806685,0.743736547039709,1.2749059682775903,-0.0006457118538553998,1.2755516801314457,0.0
7,0.14,idle,kick,399,13.220302558808148,-5.120596743499659,0.10973345824050078,1.1678404896991346,0.06652232361776284,0.7437457338045923,1.274908843729077,-0.0006433711952527899,1.2755522149243297,0.0
8,0.16,idle,kick,399,13.271779241933748,-5.14300419648559,0.10973345824050078,1.1679579283066477,0.06649314535561154,0.7437530618580624,1.274909845266026,-0.0006419763495791701,1.275551821615605,0.0
9,0.18,idle,kick,399,13.323255925059348,-5.165411649471521,0.10973345824050078,1.1680485902802404,0.06648788497985661,0.7437583877724356,1.2749089377916432,-0.0006414176376647908,1.275550355429308,0.0
10,0.2,idle,kick,399,13.374732608184948,-5.187819102457452,0.10973345824050078,1.168113819221872,0.06650436529731485,0.7437623377299805,1.2749067868993942,-0.0006415904548713082,1.2755483773542655,0.0
11,0.22,idle,kick,399,13.426209291310547,-5.210226555443382,0.10973345824050078,1.1681554963829934,0.06653864926501221,0.7437659617563022,1.27490458772094,-0.0006424132582198427,1.2755470009791599,0.0
