tick,t_s,phase,task_mode,curr_motion_timestep,ball_x,ball_y,ball_z,base_x,base_y,base_z,robot_top_z,robot_bottom_z,robot_height,kick_aim_theta_deg
0,0.0,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10989091315873106,-0.0004543668524025666,-8.036044738567684e-06,0.7549788067637767,1.2870338798385434,-0.000632725291058605,1.287666605129602,
1,0.02,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10980902141344312,-0.0016669221773087995,-7.688966872467602e-05,0.7512426443898476,1.28330764283904,-0.00048446506593594063,1.2837921079049759,
2,0.04,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10976503447145444,-0.003458094414136978,-0.0002120534212616017,0.745607842268515,1.2776317215698216,-0.0005820739660774947,1.2782137955358992,
3,0.06,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10974518062216254,-0.005590782335423035,-0.00039132589124650334,0.7388095799112946,1.2707125608185017,-0.0004254938934854513,1.271138054711987,
4,0.08,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973731266832155,-0.0077430148193098425,-0.0005531209300543428,0.7320040457789156,1.2637120017781989,-0.0004104570054380384,1.2641224587836368,
5,0.1,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973454404443848,-0.009696759020290074,-0.0006369615934248587,0.7261868460811842,1.2576586121275082,-0.00042037949051038775,1.2580789916180186,
6,0.12,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973369052927323,-0.011374551875630235,-0.0006158588767769342,0.721933119253055,1.253161288072559,-0.0004548122706050685,1.2536161003431643,
7,0.14,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.1097334732878534,-0.01276849924675493,-0.0004960957206941096,0.7194261593298747,1.2504304624232678,-0.000492142365721638,1.2509226047889894,
8,0.16,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973343775080387,-0.013909202658656885,-0.00030893765850570956,0.7185429979746603,1.2493632503880028,-0.0005107718644073687,1.24987402225241,
9,0.18,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973344222612894,-0.014841222436797726,-8.576770810293015e-05,0.7189277872828825,1.2496196428560826,-0.0005132574846468604,1.2501329003407295,
10,0.2,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973344999820983,-0.015651510164842737,0.00014130397631563967,0.7201766010195808,1.250791900651761,-0.0005083087373648869,1.251300209389126,
11,0.22,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.1097334547231311,-0.01640230732707917,0.00035513729529483004,0.7218772257984731,1.2524637749864929,-0.0004949496799413582,1.2529587246664342,
12,0.24,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345692610834,-0.017162414267649456,0.0005565743977067224,0.7236686379416041,1.2542634441058522,-0.00048116021577722726,1.2547446043216295,
13,0.26,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345780729221,-0.017984119868934473,0.0007420133897262239,0.7252789287765221,1.2559067831631376,-0.00047286324950533004,1.2563796464126429,
14,0.28,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345811827714,-0.018870821565751032,0.0008890471893841128,0.7265416120220052,1.2572224035471533,-0.0004662982825903855,1.2576887018297438,
15,0.3,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345821428342,-0.019816633722057463,0.0010003780230722083,0.7273925353654347,1.2581394535821109,-0.0004659374084290645,1.25860539099054,
16,0.32,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345823876013,-0.020837962367473643,0.0010816815422700391,0.7278500034272483,1.2586625295296547,-0.00046977558529575844,1.2591323051149506,
17,0.34,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345824278434,-0.021938458555451488,0.0011360210268352685,0.7279801399665529,1.2588483755529283,-0.0004747112653352599,1.2593230868182634,
18,0.36,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345824229395,-0.02308530902238056,0.001162751603231912,0.7278819527294665,1.2587967799701905,-0.0004775374246053926,1.2592743173947958,
19,0.38,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345824142507,-0.024258057477390224,0.0011617711705621768,0.7276440455389211,1.2585962239255943,-0.0004822317907258421,1.2590784557163202,
20,0.4,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345824089552,-0.02543787802512364,0.0011308480870719738,0.7273416594619986,1.2583218435864145,-0.0004867459938229894,1.2588085895802374,
21,0.42,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345824064834,-0.026605726540974237,0.0010720633281813196,0.7270370554864927,1.2580373794193525,-0.0004902713551415486,1.258527650774494,
22,0.44,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345824054938,-0.027754522821319544,0.0009910927069894137,0.7267737205122384,1.2577866976298981,-0.0004927557397645076,1.2582794533696626,
23,0.46,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345824051445,-0.0288835349503219,0.0008943676878932764,0.7265755943644177,1.2575930277311311,-0.0004951250669481093,1.2580881527980792,
24,0.48,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345824050364,-0.029985313232983243,0.0007841161058908993,0.7264497630573286,1.2574649926143522,-0.0004970974647480302,1.2579620900791002,
25,0.5,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345824050088,-0.031053040525737534,0.0006620944488070536,0.7263822927877558,1.257391335093095,-0.0004984086996129393,1.257889743792708,
26,0.52,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345824050044,-0.03208505383540407,0.000527314681072874,0.726347193468139,1.2573469729819853,-0.0004992513672112953,1.2578462243491966,
27,0.54,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345824050044,-0.03307395397614222,0.0003804733460099495,0.7263384984917726,1.2573277531379352,-0.0005000778315324486,1.2578278309694677,
28,0.56,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345824050044,-0.03401199735302461,0.00022363565378386016,0.7263506705275722,1.2573301740398108,-0.0005008367802353322,1.2578310108200461,
29,0.58,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345824050044,-0.034893729242984846,5.898830012638939e-05,0.7263768605978856,1.2573487810650341,-0.0005015117307687403,1.2578502927958028,
30,0.6,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345824050044,-0.035715941647862445,-0.00011081755108554767,0.7264101026471784,1.2573774114642855,-0.0005020985346813715,1.2578795099989668,
31,0.62,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345824050044,-0.0364774254825453,-0.0002840487762632498,0.7264442739884158,1.2574101928217298,-0.0005026248252252216,1.257912817646955,
32,0.64,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345824050044,-0.03717856411631017,-0.0004587608935228198,0.7264746171233121,1.257442180242499,-0.0005030899351342287,1.2579452701776332,
33,0.66,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345824050044,-0.0378219468905369,-0.0006325694678693464,0.7264980754553528,1.2574694892737392,-0.0005035006106692309,1.2579729898844085,
34,0.68,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345824050044,-0.038411139760180346,-0.0008036217389076036,0.7265129357896246,1.2574893283728557,-0.0005038808662282575,1.257993209239084,
35,0.7,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345824050044,-0.03894892945229191,-0.0009702113875018463,0.7265186028027316,1.2575003579415522,-0.0005046910734117852,1.2580050490149641,
36,0.72,idle,locomotion,0,1.3899999856948853,0.019999999552965164,0.10973345824050044,-0.03943723815168459,-0.0011309977648460358,0.7265156105497168,1.2575026915945915,-0.0005054209392585246,1.25800811253385,
