tick,t_s,phase,task_mode,curr_motion_timestep,ball_x,ball_y,ball_z,base_x,base_y,base_z,robot_top_z,robot_bottom_z,robot_height,kick_aim_theta_deg
0,0.0,idle,kick,402,5.010422625860262,-2.5274530600766063,0.10973345824050078,2.0018486634300374,0.46038821978448774,0.7608233886292949,1.2913413178638808,-0.0005389542115992428,1.29188027207548,0.0
1,0.02,idle,kick,403,5.026609824439352,-2.540268103470652,0.10973345824050078,2.001572653298261,0.4602506920584733,0.7609688217230409,1.291502537064284,-0.0005380486252518184,1.2920405856895358,0.0
2,0.04,idle,kick,404,5.042797023018442,-2.5530831468646973,0.10973345824050078,2.001298279003278,0.460133063304314,0.7610877475620066,1.2916375814125476,-0.0005366908190448348,1.2921742722315923,0.0
3,0.06,idle,kick,405,5.058984221597531,-2.5658981902587428,0.10973345824050078,2.001040142395835,0.46003493649601473,0.7611810087918517,1.2917455295139944,-0.0005373329496382723,1.2922828624636327,0.0
4,0.08,idle,kick,406,5.075171420176621,-2.5787132336527883,0.10973345824050078,2.0008053809341693,0.45995883498169443,0.7612624291652343,1.2918411162907322,-0.0005388472822018368,1.292379963572934,0.0
5,0.1,idle,kick,407,5.09135861875571,-2.5915282770468338,0.10973345824050078,2.0005923738194142,0.4599031583895129,0.7613438395577449,1.291937011544135,-0.0005407564500820514,1.2924777679942172,0.0
6,0.12,idle,kick,408,5.1075458173348,-2.6043433204408792,0.10973345824050078,2.000399044307417,0.4598614675543198,0.7614303905865832,1.2920376997855048,-0.0005431827327129664,1.2925808825182177,0.0
7,0.14,idle,kick,409,5.123733015913889,-2.6171583638349247,0.10973345824050078,2.000223402767283,0.45983076786982136,0.7615152188040979,1.2921352259004917,-0.0005453299180552124,1.2926805558185468,0.0
8,0.16,idle,kick,410,5.139920214492979,-2.62997340722897,0.10973345824050078,2.000061788379702,0.45981152590832064,0.7615700653027102,1.2922010144145686,-0.0005452897741703051,1.2927463041887388,0.0
9,0.18,idle,kick,411,5.1561074130720685,-2.6427884506230157,0.10973345824050078,1.9999193420676575,0.45980630833141767,0.7615391215765548,1.2921828718606285,-0.0005393242902951671,1.2927221961509237,0.0
10,0.2,idle,kick,412,5.172294611651158,-2.655603494017061,0.10973345824050078,1.9997811900735984,0.4598164516997443,0.7613919000849511,1.292053091257985,-0.0005356336444052416,1.2925887249023904,0.0
11,0.22,idle,kick,413,5.188481810230248,-2.6684185374111067,0.10973345824050078,1.9996220706438654,0.45983989977489714,0.7611934754670542,1.291872749953753,-0.0005378696377446313,1.2924106195914977,0.0
12,0.24,idle,kick,414,5.204669008809337,-2.681233580805152,0.10973345824050078,1.9994742929893967,0.4598676885213246,0.7610171691135758,1.2917126100491434,-0.0005394804268880858,1.2922520904760315,0.0
13,0.26,idle,kick,415,5.220856207388427,-2.6940486241991977,0.10973345824050078,1.9993490100936544,0.45989684483136456,0.7608866653932584,1.2915946028111158,-0.0005372953268057597,1.2921318981379215,0.0
14,0.28,idle,kick,416,5.237043405967516,-2.706863667593243,0.10973345824050078,1.999251580426648,0.45992192750345245,0.7608025152482311,1.291517928666246,-0.0005354907103368167,1.2920534193765827,0.0
15,0.3,idle,kick,417,5.253230604546606,-2.7196787109872886,0.10973345824050078,1.9991818102524581,0.4599349559949605,0.7607585075734762,1.291475210652717,-0.0005368886706928096,1.2920120993234099,0.0
16,0.32,idle,kick,418,5.2694178031256955,-2.732493754381334,0.10973345824050078,1.9991301901844902,0.4599440868759813,0.7607407555670075,1.2914547797792273,-0.0005407994477049163,1.2919955792269322,0.0
17,0.34,idle,kick,419,5.285605001704785,-2.7453087977753796,0.10973345824050078,1.999090079477244,0.4599632754788656,0.7607280252464699,1.2914386690656832,-0.000542611092906941,1.2919812801585902,0.0
18,0.36,idle,kick,420,5.301792200283875,-2.758123841169425,0.10973345824050078,1.9990586138875208,0.4599956824332755,0.7607056428343517,1.2914126958945507,-0.000541316783019781,1.2919540126775704,0.0
19,0.38,idle,kick,421,5.317979398862964,-2.7709388845634706,0.10973345824050078,1.9990397912927018,0.46003768985935944,0.7606924040764313,1.291394507044323,-0.0005415468907210147,1.291936053935044,0.0
20,0.4,idle,kick,422,5.334166597442054,-2.783753927957516,0.10973345824050078,1.999035923208146,0.4600887681765465,0.7607123802364747,1.2914090392915494,-0.0005444045367919148,1.2919534438283413,0.0
21,0.42,idle,kick,423,5.350353796021143,-2.7965689713515616,0.10973345824050078,1.9990398325816583,0.46014931537111187,0.7607730457721812,1.2914632065899903,-0.0005485938072313234,1.2920118003972216,0.0
22,0.44,idle,kick,424,5.366540994600233,-2.809384014745607,0.10973345824050078,1.9990480346488049,0.46022122986598213,0.7608507599547332,1.291534176362078,-0.0005507520638153192,1.2920849284258933,0.0
23,0.46,idle,kick,425,5.3827281931793225,-2.8221990581396525,0.10973345824050078,1.9990633160362494,0.46030367447164144,0.7609171430691818,1.2915936328067532,-0.0005515073991319633,1.2921451402058852,0.0
24,0.48,idle,kick,426,5.398915391758412,-2.835014101533698,0.10973345824050078,1.9990822181889323,0.4604030199469159,0.7610032531441179,1.2916732314547101,-0.0005545211967660259,1.2922277526514763,0.0
25,0.5,idle,kick,427,5.415102590337502,-2.8478291449277435,0.10973345824050078,1.9991121599204418,0.46052646446639656,0.761148810054569,1.2918160336997473,-0.0005584499115943581,1.2923744836113416,0.0
26,0.52,idle,kick,428,5.431289788916591,-2.860644188321789,0.10973345824050078,1.9991741232673235,0.4606711043797903,0.7613425000727918,1.2920108948344253,-0.00056103937546036,1.2925719342098856,0.0
27,0.54,idle,kick,429,5.447476987495681,-2.8734592317158345,0.10973345824050078,1.999263848712738,0.4607888792514568,0.7613623719888204,1.2920375684830918,-0.0006465316719902921,1.2926841001550822,0.0
28,0.56,idle,kick,430,5.46366418607477,-2.88627427510988,0.10973345824050078,1.9994150097469945,0.46085606310263993,0.760992322542862,1.2916708121920415,-0.0008051350950467225,1.2924759472870881,0.0
