tick,t_s,phase,task_mode,curr_motion_timestep,ball_x,ball_y,ball_z,base_x,base_y,base_z,robot_top_z,robot_bottom_z,robot_height,kick_aim_theta_deg
0,0.0,idle,kick,402,6.049971223925333,-2.6623454360748493,0.10973345824050078,2.1138162421912416,0.024344075546670854,0.7524733467157921,1.2840969666806585,-0.0005029334415139856,1.2845999001221726,0.0
1,0.02,idle,kick,403,6.070886389402482,-2.6756625899668567,0.10973345824050078,2.1138042556536574,0.024264985469636364,0.7525290831312104,1.284161630054972,-0.000509677415825957,1.284671307470798,0.0
2,0.04,idle,kick,404,6.0918015548796305,-2.688979743858864,0.10973345824050078,2.1137817203143987,0.02417582518873258,0.7525855025855425,1.2842245613708008,-0.0005125058022428658,1.2847370671730436,0.0
3,0.06,idle,kick,405,6.112716720356779,-2.7022968977508715,0.10973345824050078,2.113765100983255,0.024074885308206884,0.7526602377047643,1.2843036916926633,-0.0005094662689125277,1.2848131579615758,0.0
4,0.08,idle,kick,406,6.133631885833928,-2.715614051642879,0.10973345824050078,2.1137514659901755,0.0239808791752325,0.7527418035127373,1.2843906713093611,-0.0005048648712815337,1.2848955361806427,0.0
5,0.1,idle,kick,407,6.154547051311077,-2.728931205534886,0.10973345824050078,2.113738845484795,0.023913250861745783,0.7528230392286018,1.2844783671621094,-0.000499208363053949,1.2849775755251633,0.0
6,0.12,idle,kick,408,6.175462216788226,-2.7422483594268936,0.10973345824050078,2.113738532657969,0.023882666141483044,0.7529203127479319,1.284582050757357,-0.0004930679468026361,1.2850751187041598,0.0
7,0.14,idle,kick,409,6.196377382265375,-2.755565513318901,0.10973345824050078,2.1137465722419098,0.023884476220541472,0.7530278909229042,1.2846961592221104,-0.0004887448408624033,1.2851849040629728,0.0
8,0.16,idle,kick,410,6.217292547742524,-2.7688826672109084,0.10973345824050078,2.1137516462041726,0.023904092574878844,0.7531243252143482,1.28479769777901,-0.0004867510416940099,1.285284448820704,0.0
9,0.18,idle,kick,411,6.238207713219673,-2.7821998211029157,0.10973345824050078,2.1137437229552627,0.02395611523677631,0.7531738871695816,1.284852202538574,-0.0004840996933784675,1.2853363022319524,0.0
10,0.2,idle,kick,412,6.259122878696822,-2.795516974994923,0.10973345824050078,2.1137196315518625,0.0240502912942138,0.7531573297811308,1.2848391904186034,-0.0004815797972982927,1.2853207702159017,0.0
11,0.22,idle,kick,413,6.2800380441739705,-2.8088341288869305,0.10973345824050078,2.1136835237661664,0.024179886497051595,0.7531072552026028,1.2847880414302406,-0.00048139761177057663,1.2852694390420112,0.0
12,0.24,idle,kick,414,6.300953209651119,-2.822151282778938,0.10973345824050078,2.113627204369088,0.024339071296354292,0.7530396860608092,1.2847163336038478,-0.00048729855243446335,1.2852036321562823,0.0
13,0.26,idle,kick,415,6.321868375128268,-2.8354684366709453,0.10973345824050078,2.1135408047661373,0.024518128429513043,0.7529362950908147,1.2846049680295886,-0.000498260981255022,1.2851032290108435,0.0
14,0.28,idle,kick,416,6.342783540605417,-2.8487855905629527,0.10973345824050078,2.113429080688931,0.024706621379127623,0.7528016359801821,1.2844578979537984,-0.000505617979306431,1.2849635159331048,0.0
15,0.3,idle,kick,417,6.363698706082566,-2.86210274445496,0.10973345824050078,2.113304147241471,0.024896210388720346,0.7526762090725745,1.2843168831746825,-0.0005057464517252419,1.2848226296264078,0.0
16,0.32,idle,kick,418,6.384613871559715,-2.8754198983469674,0.10973345824050078,2.1131859232310606,0.025078914206799377,0.7526167154649189,1.2842408564759002,-0.0004989791761220094,1.2847398356520223,0.0
