tick,t_s,phase,task_mode,curr_motion_timestep,ball_x,ball_y,ball_z,base_x,base_y,base_z,robot_top_z,robot_bottom_z,robot_height,kick_aim_theta_deg
0,0.0,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10989091315873106,-0.0003473598347712081,-6.555659236237121e-05,0.7551279160164148,1.2871797142095778,-0.0006425928405461544,1.287822307050124,0.0
1,0.02,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10980902141344312,-0.0014128160185602472,-0.0002515617497524752,0.7514562060239243,1.2835340948717773,-0.0004980152982198525,1.2840321101699972,0.0
2,0.04,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10976503447145444,-0.0031214157985750943,-0.0005855283956574714,0.7454107942005423,1.2774703999676529,-0.0004671069013426135,1.2779375068689955,0.0
3,0.06,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10974518062216254,-0.005153963594514496,-0.0009100147561485029,0.7378324579873177,1.2698063219236595,-0.0004332495072085739,1.270239571430868,0.0
4,0.08,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973731266832155,-0.007096991470672722,-0.001291468305390789,0.7301142855473965,1.2619597601493806,-0.0004234610746518784,1.2623832212240325,0.0
5,0.1,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973454404443848,-0.008722426122235085,-0.0016971107987685547,0.7234060594226281,1.2551149699806512,-0.0004153490693788314,1.25553031905003,0.0
6,0.12,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973369052927323,-0.009983155962247981,-0.002083919064493274,0.7184224973069848,1.2500106054401179,-0.00044170039542239595,1.2504523058355403,0.0
7,0.14,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.1097334732878534,-0.01091670928599429,-0.002388697781601849,0.7154554841997296,1.2469524097422284,-0.00047581053711424556,1.2474282202793427,0.0
8,0.16,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973343775080387,-0.011580511732487907,-0.0025735882493471487,0.7144426767056602,1.245890535659675,-0.0004942693143175185,1.2463848049739925,0.0
9,0.18,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973344222612894,-0.01209814893951707,-0.0026313321415529565,0.7150594132255957,1.2464924695499924,-0.0004972188802384869,1.246989688430231,0.0
10,0.2,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973344999820983,-0.012560417072886257,-0.002578302783241197,0.7168666346541612,1.2483110279523288,-0.0004899159487186493,1.2488009439010475,0.0
11,0.22,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.1097334547231311,-0.013042485696704771,-0.002447474523268422,0.7193674336674785,1.2508413681765163,-0.0004788616222892658,1.2513202297988055,0.0
12,0.24,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345692610834,-0.013598752070543558,-0.0022539432203868906,0.7220885959482632,1.2536034072550466,-0.00046965925060142924,1.254073066505648,0.0
13,0.26,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345780729221,-0.01426886801121179,-0.0020028209275250084,0.7246418307618414,1.2562011184999644,-0.0004641543086948523,1.2566652728086594,0.0
14,0.28,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345811827714,-0.015094911781820448,-0.0017168782965579464,0.7267489036952514,1.2583462093868656,-0.0004568549638325828,1.2588030643506982,0.0
15,0.3,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345821428342,-0.01609490760601576,-0.0014601237588773115,0.728247542241945,1.2598693911199481,-0.00044394533857259125,1.2603133364585206,0.0
16,0.32,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345823876013,-0.017262096611312713,-0.001253872444123385,0.729123739513724,1.2607514753752251,-0.0004377266298943028,1.2611892020051194,0.0
17,0.34,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345824278434,-0.018526338157064025,-0.0010488368648245425,0.7294280483461568,1.2610502393993681,-0.0004443376709896314,1.2614945770703578,0.0
18,0.36,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345824229395,-0.019845542273940187,-0.0008866822524195715,0.729289018663226,1.260896359779579,-0.00045409187070932083,1.2613504516502883,0.0
19,0.38,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345824142507,-0.021190591075039105,-0.0007932628026954037,0.7288517930004953,1.2604362716224222,-0.0004623396290115954,1.2608986112514338,0.0
20,0.4,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345824089552,-0.02253767622179231,-0.0007419254871597585,0.7282618044000214,1.2598162483795659,-0.0004696341640419953,1.2602858825436078,0.0
21,0.42,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345824064834,-0.023860506038099725,-0.0007199531801687591,0.7276505765498859,1.259170699036194,-0.00047645134646181683,1.2596471503826558,0.0
22,0.44,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345824054938,-0.025130014344800153,-0.0007106399311041649,0.727118441166292,1.2586041447055691,-0.000485660934314007,1.2590898056398832,0.0
23,0.46,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345824051445,-0.026324485936023375,-0.0007210674843535166,0.7267324477936747,1.2581875787034766,-0.0004915831407356491,1.2586791618442124,0.0
24,0.48,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345824050364,-0.027434106114329657,-0.0007575424121531982,0.7265246306522279,1.2579559217233474,-0.0004948292235924211,1.2584507509469398,0.0
25,0.5,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345824050088,-0.028460276160920332,-0.0008213722777480885,0.7264776061548187,1.2578940514234478,-0.0004962609366144302,1.2583903123600622,0.0
26,0.52,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345824050044,-0.029407917427555278,-0.000909585743568432,0.7265585588883573,1.257968458536681,-0.0004971989224959797,1.258465657459177,0.0
27,0.54,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345824050044,-0.030286578523318373,-0.0010170606026247613,0.7267375332846897,1.2581477862770623,-0.0004978705059533982,1.2586456567830155,0.0
28,0.56,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345824050044,-0.031115717113616586,-0.0011392732329451663,0.7269755390556388,1.2583895716333382,-0.0004984272318312825,1.2588879988651696,0.0
29,0.58,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345824050044,-0.03191001653372564,-0.0012786821212945776,0.7272324171433237,1.2586511392802011,-0.0004990233608464338,1.2591501626410475,0.0
30,0.6,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345824050044,-0.03267299701072007,-0.0014363130710829512,0.7274796599519809,1.2589029804034786,-0.0004998383432755077,1.259402818746754,0.0
31,0.62,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345824050044,-0.03340238289181836,-0.001609580268885621,0.7276978710867079,1.2591257946990562,-0.0005007886094178446,1.259626583308474,0.0
32,0.64,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345824050044,-0.03409761971001614,-0.0017983494608628024,0.7278728042207586,1.2593052189492047,-0.0005018843004876462,1.2598071032496923,0.0
33,0.66,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345824050044,-0.03475869444917598,-0.0020034909206546017,0.7279981538069927,1.259434561396078,-0.0005031515575857348,1.2599377129536637,0.0
