tick,t_s,phase,task_mode,curr_motion_timestep,ball_x,ball_y,ball_z,base_x,base_y,base_z,robot_top_z,robot_bottom_z,robot_height,kick_aim_theta_deg
0,0.0,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10989091315873106,-0.0005156118406163365,2.9437855182440046e-05,0.7547719540829378,1.2868349461978807,-0.000611486396534966,1.2874464325944157,0.0
1,0.02,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10980902141344312,-0.0020320928650136953,9.573223872416747e-05,0.7503383494170902,1.2824020544331556,-0.0004556129212034618,1.282857667354359,0.0
2,0.04,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10976503447145444,-0.004269668927396992,0.00018623548295487746,0.7436093122232449,1.2755733653963148,-0.0005353292221841263,1.276108694618499,0.0
3,0.06,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10974518062216254,-0.006755465662434137,0.0003202996992340233,0.7359695034906102,1.2677187786805442,-0.00043245108539400126,1.268151229765938,0.0
4,0.08,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973731266832155,-0.009078075281260941,0.0005112166810815598,0.7289000119731947,1.260369646403489,-0.00041071594935234573,1.2607803623528413,0.0
5,0.1,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973454404443848,-0.011078172344903573,0.0007582814074344178,0.7233798846054723,1.2545570316080732,-0.0004281453654798803,1.2549851769735532,0.0
6,0.12,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973369052927323,-0.012721590019839439,0.00106335617520381,0.7198235826378162,1.2507365157804446,-0.00046482099699717006,1.2512013367774417,0.0
7,0.14,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.1097334732878534,-0.014041604451838824,0.0014213352504916562,0.7182107709444081,1.2489139448391378,-0.0004874995989845206,1.2494014444381223,0.0
8,0.16,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973343775080387,-0.015064219990292378,0.001820885053341193,0.7181955112200705,1.2487693173473118,-0.0004955005543509292,1.2492648179016628,0.0
9,0.18,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973344222612894,-0.015874109548482434,0.0022485860790066926,0.7193132333167807,1.2498348376102557,-0.0004936923187943386,1.25032852992905,0.0
10,0.2,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973344999820983,-0.016574756232687372,0.002680876532774464,0.7210839209030863,1.2516139352547504,-0.0004901361623335133,1.252104071417084,0.0
11,0.22,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.1097334547231311,-0.017224145686866057,0.003086983615191798,0.7230694914458439,1.2536591479470776,-0.0004856008316861879,1.2541447487787638,0.0
12,0.24,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345692610834,-0.017889149455582943,0.0034331007663185014,0.7249339744957916,1.2556162678333407,-0.0004826815529557632,1.2560989493862964,0.0
13,0.26,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345780729221,-0.018632844086851827,0.0037218557387769025,0.7264587190262696,1.2572444673296026,-0.00048166796121359295,1.2577261352908162,0.0
14,0.28,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345811827714,-0.019479147730187156,0.003983303151611836,0.7275451273785556,1.258429466487704,-0.0004819098691874295,1.2589113763568915,0.0
15,0.3,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345821428342,-0.020440873745058555,0.004227946099701427,0.7282006842694191,1.2591653791965944,-0.0004831052028515456,1.259648484399446,0.0
16,0.32,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345823876013,-0.021524622052528638,0.004461371006620545,0.7284994570344843,1.2595195734503943,-0.00048473524301144433,1.2600043086934059,0.0
17,0.34,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345824278434,-0.022691911279809258,0.004686649997412597,0.7285398414127979,1.2595959245127801,-0.0004864613410345449,1.2600823858538146,0.0
18,0.36,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345824229395,-0.0238988502196269,0.004907212100723379,0.7284391124500874,1.2595185348796907,-0.000489657449101788,1.2600081923287925,0.0
19,0.38,idle,locomotion,0,1.9900000095367432,-0.14000000059604645,0.10973345824142507,-0.02511579659628273,0.005123184145264426,0.7282793932193476,1.2593739160373199,-0.0004927782342341834,1.259866694271554,0.0
